left,right,margin
leader,5F7MFsxSr4CPo7KRZxXePJMtMrukhFhpcA9b1H3W7CJmxtQs,-0.03125
leader,5HjdXk6yrJBGrGGa6gdfAvRjg36NZj9nmeXYsyisja63AVZa,0.0078125
leader,5EvdKS8MohWnpqnL81pfrTYNbA72BNmwnhsqZwJPHYnNjEay,0.0078125
leader,5DMGiRs5XvJZE6hnWa3hNS4eYTXkpRKfzSbg348h2jZ88kZF,0.0
leader,5GEzqySgKougp4eh4otNcx3aLjnmps2kDxQ56cZRj3Jtz55i,-0.0078125
leader,5CHvUfGBqrWLANVnMHkp1ayKTaKkTZwfA1v6WugcbP93RJ5Q,-0.0234375
leader,5FWAusDm9wN8vWKa3zcXrEeKS8gJyhuxmattiwGU7P7Ph843,-0.0078125
leader,5GCP74eiqJMr3aV4M1hnkwgKm4dW1sXuTwawVdJRBV9ueEy8,0.015625
leader,5EA5rXrNhRyMHgmHU1gdEhgNqHecDt9MVyXEEiYpTYSB9vgX,0.0
leader,5D9hoPyiDrErKXFN7Gh5ngu5s7cLsMMi5kTWyCLzfoKYqH4B,-0.0390625
leader,5EqNLQBYYWMcHdid25TEDGUdgT67ZGLB49QvczcKs5rH58Hh,-0.0234375
leader,5HjCsufKfUm1y7U4a4MpZc9VnbchXL1u4dsLAkQUvQPrhCGc,0.0
leader,5HU3ytPKU6kUwH8Fk7BwrKhk4k41NqJ7zT7updCWyoxf8oht,-0.0078125
leader,5HQNC4y3nQ3aC4ALwupn5bAYJLgW1zGsjYFYQa8rz8ebWAi2,-100.0
leader,5GTHnU4xjcpmtGZ9fgGkYjeAiVM7DC9fRVyYhbBZGjeGXN2x,-100.0
leader,5HGasgY6AYfnhXD6sWgbrDjkYk3zT2q3hEcoafJDuUNvJcSe,-100.0
leader,5GTjzPxnm9m6EgjfQXuwQatU2BiMAutiFJ6efnqmouTEeLME,0.015625
leader,5G4Z9uJLPN3aYQtukHachhTLvEyccEKDMv5zKCLAskFeeFto,-100.0
leader,5EcrCvTP1QsbuP5cRDpuLVonK5TvMPMFDV1gYo7FLco2oFUS,0.015625
leader,5G1GM8LUMzzSiyQ6kMJQsTcTVLb5pFUD3jXDuUkcN8VyUX7A,0.0078125
